,AAPL,ABBV,ABT,AFL,AMZN,CCI,CVX,DLR,DRE,GOOGL,GS,JPM,MSFT,NEE,XOM,MVP,Date
51,8248.255125087779,8388.298607984496,8480.313509614565,5480.151027393852,9141.213330730527,9554.696669429673,5783.752029931081,10715.717374955566,7542.54427447689,8011.1100402309185,6726.395363313551,6338.594295489419,8587.190918804567,8315.576150971778,4942.677311811544,7979.381574757524,2020-03-16
52,8610.93158065885,8247.11948136662,9151.507863827517,5699.43265574024,9783.531037644578,10332.043716030006,5865.903343151116,11545.01486215511,8396.308666790192,8347.531609763055,6900.796034586147,6725.96888389068,9294.2301940769,9157.581398795402,5275.150761999185,8551.011461026268,2020-03-17
53,8400.136328826211,8022.3625530638865,9125.028963767316,4776.937566892409,9903.45502776052,9729.863066987751,4568.085491761032,11469.851243370234,8399.193071004205,8146.918154905326,6089.679847461212,6017.93422257561,8902.980127676492,8698.381078799395,4746.345587743286,8131.266792225032,2020-03-18
54,8335.77401215902,8025.750714232474,8577.020432477575,5085.065943782758,10179.07425959562,9198.030644673401,4762.260258262376,10461.833879902724,8142.486597395487,8299.823327552858,6501.544394165067,6119.082265893058,9049.461602761174,8552.197017327699,4934.078662579579,8121.2713452549415,2020-03-19
55,7806.572799520449,7772.757960606164,7828.689790717786,5052.929824427301,9990.529317744238,9008.79374302674,4928.221586330324,10121.930775891087,7784.82872701554,7975.347198725516,6019.658507851909,5989.957220658519,8709.575698254102,7918.318347382938,4691.889115965487,7704.424730944982,2020-03-20
56,7640.728751258922,7284.842933482348,7232.327797996541,4856.332664090749,10297.591148607382,8229.335798784494,4499.211705216812,9011.191201843747,7571.387766473177,7870.224928131407,5870.047645807612,5669.29714774471,8622.701227582666,7501.651838244236,4507.022257539849,7455.057462826246,2020-03-23
57,8407.28792828925,7622.543163079384,8023.25603864904,5502.835495403687,10499.285549368935,8702.779064103233,5522.363444697843,9747.787147407307,8367.465174793904,8436.751309492805,6680.29448076847,6343.615794620631,9406.467926982677,8528.658558639281,5078.819037930927,8257.179591942826,2020-03-24
58,8360.97426785611,7669.980004506633,8145.291216077697,6943.28893814263,10205.645679390362,9001.759027696824,5748.070319072783,10141.139341202343,8226.132669170334,8224.789372676105,6746.83642083865,6580.344861783168,9316.423653271539,8683.10212638809,5343.938315830261,8310.743955562215,2020-03-25
59,8800.953782158425,8338.604141363528,8727.837557666224,6761.814636293505,10582.572061908484,10022.511947798732,6338.062891001715,11201.771110386584,8837.612058801134,8682.460212813514,7210.455293664506,7038.737951412249,9899.175880237177,9543.277279842381,5563.198677833995,8899.120032577357,2020-03-26
60,8436.57451532234,8207.589498251418,8583.927818866265,6691.871550998175,10282.816587013514,9629.96871384558,5707.409970961959,11094.87293081979,9252.957463317507,8289.296233486515,6886.4437603476135,6537.302815170083,9492.707662979496,9578.37766107266,5295.213730198889,8588.660313746543,2020-03-27
61,8677.33706299404,8497.853748110208,9134.238519500454,6854.441829041282,10628.355696662033,10415.758277584811,5970.458524007522,11676.13162292338,9532.737520206783,8558.448299157446,6942.112825718384,6707.317366845168,10160.431124176066,10158.985414044615,5374.032768129816,9012.846584245359,2020-03-30
62,8659.628761162976,8605.150401353196,9084.734412574395,6472.589922651788,10551.346638696403,10158.283510137784,6012.778839930671,11600.969278465322,9339.487389162518,8675.21810070056,6723.350639856465,6458.393308550023,10000.634734674617,9936.405330292666,5441.387487093006,8843.96868609016,2020-03-31
63,8203.984630322637,8292.296974222143,8815.334924796094,6030.2455006404225,10323.946218349722,9679.212257869362,5689.154123579729,11231.000344641687,8704.932765819605,8228.372834002406,6318.8795683128965,6051.650237014759,9645.529711726926,9011.810060592818,5378.331819408358,8307.497019273364,2020-04-01
64,8340.881926329017,8485.429916032715,9145.752001288723,6017.013044533597,10384.178238091416,10296.869602666055,6316.488374179283,11275.262812384493,8661.667802897102,8339.841778590735,6520.680096188839,6277.618792524026,9845.275682395411,9351.255100913046,5789.624854201808,8553.497605202345,2020-04-02
65,8221.011703722688,8286.650326170831,9146.902646783277,6126.653858706791,10317.938788459525,10244.108432620127,6232.677726239146,11398.86486789914,8534.756768199748,8158.191447403947,6390.2055997959205,6029.412247619727,9754.597641593002,9152.626199118626,5619.0885311545635,8390.037230341328,2020-04-03
66,8938.191952192834,8553.196586160499,9524.522539212856,6657.845029262116,10810.406008123531,10464.298725775667,6670.815531043772,11650.242399261757,9287.569213597972,8833.797799136142,6881.659668934769,6417.503802109479,10480.025838345657,9684.092788256328,5799.65633830166,8963.49774221177,2020-04-06
67,8834.6670549305,8514.795415642155,9432.419955038748,6750.472222009894,10886.224315037385,10308.828672398347,6714.795181687022,11733.75668169374,9091.43412819584,8829.093900927177,7220.45881619984,6502.152321251598,10367.153370765262,9435.497276089436,5910.003210074911,8869.564298585781,2020-04-07
68,9060.787088523219,8872.825473939723,9780.105497503098,7139.886459036571,11056.152417455849,11069.997000840067,7134.677772201642,12177.217317515284,9639.457725406039,9011.56505038947,7696.2559192264325,6764.706397461043,10471.148261151131,9642.385054049106,6284.0354315298455,9102.335876771329,2020-04-08
69,9126.170468399368,9007.228278220422,9905.59524648144,7198.487851163065,11054.853491377873,11546.957892180953,6996.099582114815,12384.332381135095,10256.70702375257,9008.354688279307,8013.743329547116,7371.593015458665,10471.782028242404,10128.840232491113,6180.854374120673,9413.96147297328,2020-04-09
70,9305.295613127933,9069.34743860789,9883.720685110138,7047.258545174019,11737.325602865201,11048.189222303017,7045.888487008979,11751.295241708258,9777.906927103299,9037.024657358212,7792.806436019795,7043.759450543461,10495.24398920293,9754.294810940608,6127.830190535877,9266.414988104501,2020-04-13
71,9775.242423269308,9276.033025092815,10262.49122303427,7141.776500859785,12356.697817771159,11662.328941077565,7020.994034561897,12099.549646530411,10271.128494678787,9446.315636696376,7751.489644887559,6850.789396082498,11014.584674041005,10009.084952815334,6080.538986447274,9535.887429699,2020-04-14
72,9686.020724933054,9241.020877432064,10469.721598248349,6758.0338315323015,12488.527666877731,11428.773386523875,6845.074798896672,11767.161884935806,9720.219943110724,9387.109632840751,7764.102551170334,6512.912832904869,10899.17617051218,9796.00254514783,5801.0891731695465,9339.080599339723,2020-04-15
73,9762.983429261314,9245.538712886517,11052.267939836875,6623.818507526059,13032.45977457976,11382.34329926056,6637.623138811738,11854.852136354753,9815.402531453925,9388.079690802711,7699.7346551379505,6264.7062880005715,11226.378992527063,9806.739021151468,5610.490428597481,9365.31937757715,2020-04-16
74,9630.512299368875,9425.118148333731,11053.41946368677,6896.0299602997475,12852.844639853132,11751.671489582053,7233.424331899359,12460.330683986636,10072.10845491879,9549.123552916177,7980.255353284811,6827.833893296619,11325.301811016072,10169.309166779141,6193.75207463118,9603.693414001638,2020-04-17
75,9430.614623932288,9486.107634435333,11282.52352191681,6833.648484526824,12953.556415010267,11425.958856334659,6934.694067995498,12002.672773070874,9737.525268107103,9415.853652145759,7845.866117643123,6578.909835001475,11100.824410037825,9812.10757420922,5901.404560842946,9340.590761530311,2020-04-20
76,9139.11121046342,9076.123760945065,10827.769098651073,6538.752203185914,12599.142824395434,11232.501232832923,6774.541361086239,12084.51641304271,9630.805062907848,9050.090534945668,7559.257299837304,6388.092320713052,10641.72546428761,9721.671399436857,5869.876727000622,9087.171911298019,2020-04-21
77,9402.350139358241,9201.49089431686,10992.401874972442,6705.104007105,12790.555643086493,11478.720026380586,7006.887473618255,12458.660041526487,9852.899236092253,9395.396992376016,7653.63377259287,6408.89528332639,11003.17106089805,10206.887777959671,6037.546833637211,9362.480620145925,2020-04-22
